BIOGUIDE_ID;OFFICE;QUARTER;PROGRAM;CATEGORY;DATE;TRANSCODE;RECORDID;PAYEE;START DATE;END DATE;PURPOSE;AMOUNT;YEAR;RECIP (orig.)
F000465;HON. A. DREW FERGUSON IV;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0486990;ACCURATE WORD LLC;01.06.17;01.06.17;PRINTING & REPRODUCTION;519.35;2017;ACCURATE WORD LLC
F000465;HON. A. DREW FERGUSON IV;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0486995;ACCURATE WORD LLC;01.03.17;01.03.17;PRINTING & REPRODUCTION;779.5;2017;ACCURATE WORD LLC
F000465;HON. A. DREW FERGUSON IV;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0486999;ACCURATE WORD LLC;1/18/2017;1/18/2017;PRINTING & REPRODUCTION;79.9;2017;ACCURATE WORD LLC
F000465;HON. A. DREW FERGUSON IV;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0489482;ACCURATE WORD LLC;02.01.17;02.01.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000465;HON. A. DREW FERGUSON IV;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0493701;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000465;HON. A. DREW FERGUSON IV;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0498101;ACCURATE WORD LLC;03.03.17;03.03.17;PRINTING & REPRODUCTION;431;2017;ACCURATE WORD LLC
F000465;HON. A. DREW FERGUSON IV;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0499939;ACCURATE WORD LLC;03.08.17;03.08.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/26/2017;AP;E0481581;ACCURATE WORD LLC;01.05.17;01.05.17;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/26/2017;AP;E0481582;ACCURATE WORD LLC;01.06.17;01.06.17;PRINTING & REPRODUCTION;209.65;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0488224;ASSOCIATED IMAGING SOLUTIONS INC;01.12.17;02.11.17;PRINTING & REPRODUCTION;157.13;2017;ASSOCIATED IMAGING SOLUTIONS INC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/22/2017;AP;E0488223;ASSOCIATED IMAGING SOLUTIONS INC;01.03.17;01.11.17;PRINTING & REPRODUCTION;107.07;2017;ASSOCIATED IMAGING SOLUTIONS INC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/22/2017;AP;E0490656;ACCURATE WORD LLC;1/23/2017;1/23/2017;PRINTING & REPRODUCTION;89.85;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/22/2017;AP;E0490657;ACCURATE WORD LLC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;199.75;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/22/2017;AP;E0490659;ACCURATE WORD LLC;1/16/2017;1/16/2017;PRINTING & REPRODUCTION;159.8;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0490655;ACCURATE WORD LLC;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0490658;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/27/2017;AP;E0491506;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;319.6;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.01.17;AP;E0492947;ACCURATE WORD LLC;2/21/2017;2/21/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/20/2017;AP;E0498581;ACCURATE WORD LLC;2/23/2017;2/23/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000466;HON. BRIAN K. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/27/2017;AP;E0498586;ASSOCIATED IMAGING SOLUTIONS INC;02.12.17;03.11.17;PRINTING & REPRODUCTION;433.83;2017;ASSOCIATED IMAGING SOLUTIONS INC
F000451;HON. MICHAEL G. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0478733;SHARP ELECTRONICS CORPORATION;07.01.16;10.12.16;PRINTING & REPRODUCTION;1368.11;2016;SHARP ELECTRONICS CORPORATION
F000451;HON. MICHAEL G. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0478734;ASSOCIATED IMAGING SOLUTIONS INC;11.12.16;12.11.16;PRINTING & REPRODUCTION;221.97;2016;ASSOCIATED IMAGING SOLUTIONS INC
F000451;HON. MICHAEL G. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/22/2017;AP;E0488222;ASSOCIATED IMAGING SOLUTIONS INC;12.12.16;01.02.17;PRINTING & REPRODUCTION;261.73;2017;ASSOCIATED IMAGING SOLUTIONS INC
F000451;2014 HON. MICHAEL G. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;897448;PUBLIC PRINTER;01.03.14;01.03.14;PRINTING & REPRODUCTION;-3676.96;2014;PUBLIC PRINTER
F000451;2013 HON. MICHAEL G. FITZPATRICK;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;897448;PUBLIC PRINTER;12/26/2013;12/26/2013;PRINTING & REPRODUCTION;3676.96;2013;PUBLIC PRINTER
F000459;"HON. CHARLES J. ""CHUCK"" FLEISCHMANN";2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/31/2017;AP;E0482485;ACCURATE WORD LLC;1/13/2017;1/13/2017;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
F000459;"HON. CHARLES J. ""CHUCK"" FLEISCHMANN";2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0487266;ACCURATE WORD LLC;02.03.17;02.03.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
F000459;"HON. CHARLES J. ""CHUCK"" FLEISCHMANN";2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0487703;ACCURATE WORD LLC;1/20/2017;1/20/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000459;"HON. CHARLES J. ""CHUCK"" FLEISCHMANN";2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0490222;ACCURATE WORD LLC;02.09.17;02.09.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000459;"HON. CHARLES J. ""CHUCK"" FLEISCHMANN";2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0500830;ACCURATE WORD LLC;03.03.17;03.03.17;PRINTING & REPRODUCTION;119.85;2017;ACCURATE WORD LLC
F000459;"HON. CHARLES J. ""CHUCK"" FLEISCHMANN";2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0474050;ACCURATE WORD LLC;12/21/2016;12/21/2016;PRINTING & REPRODUCTION;39.95;2016;ACCURATE WORD LLC
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;E0479230;ACCURATE WORD LLC;01.09.17;01.09.17;PRINTING & REPRODUCTION;274.7;2017;ACCURATE WORD LLC
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.02.17;AP;E0483902;ACCURATE WORD LLC;1/25/2017;1/25/2017;PRINTING & REPRODUCTION;109.95;2017;ACCURATE WORD LLC
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;902487;ACCURATE WORD LLC;1/30/2017;1/30/2017;PRINTING & REPRODUCTION;50;2017;ACCURATE WORD LLC
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.10.17;AP;E0494669;ACCURATE WORD LLC;2/23/2017;2/23/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0498709;ACCURATE WORD LLC;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;216;2017;ACCURATE WORD LLC
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/23/2017;1/23/2017;PRINTING & REPRODUCTION;24.67;2017;PUBLIC PRINTER
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;97.68;2017;PUBLIC PRINTER
F000461;HON. BILL FLORES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;E0486410;ACCURATE WORD LLC;10.04.16;10.04.16;PRINTING & REPRODUCTION;29.95;2016;ACCURATE WORD LLC
F000449;HON. JEFF FORTENBERRY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.09.17;AP;E0485393;KLEIN LELAND C.;1/24/2017;1/24/2017;PRINTING & REPRODUCTION;60.47;2017;KLEIN LELAND C.
F000449;HON. JEFF FORTENBERRY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0497195;ACCURATE WORD LLC;2/16/2017;2/16/2017;PRINTING & REPRODUCTION;41.9;2017;ACCURATE WORD LLC
F000454;HON. BILL FOSTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-CANVA.COM;01.03.17;1/28/2017;PRINTING & REPRODUCTION;1;2017;CITI PCARD-CANVA.COM
F000454;HON. BILL FOSTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0472453;DAVID L ANDRUKITIS INC;12/13/2016;12/13/2016;PRINTING & REPRODUCTION;33.5;2016;DAVID L ANDRUKITIS INC
F000450;HON. VIRGINIA FOXX;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/24/2017;AP;E0480091;ACCURATE WORD LLC;01.11.17;01.11.17;PRINTING & REPRODUCTION;468.5;2017;ACCURATE WORD LLC
F000450;HON. VIRGINIA FOXX;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.04.17;AP;E0490713;SYSTEL BUSINESS EQUIPMENT;01.01.17;1/31/2017;PRINTING & REPRODUCTION;2.28;2017;SYSTEL BUSINESS EQUIPMENT
F000450;HON. VIRGINIA FOXX;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;E0498011;ACCURATE WORD LLC;03.07.17;03.07.17;PRINTING & REPRODUCTION;74.95;2017;ACCURATE WORD LLC
F000450;HON. VIRGINIA FOXX;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.04.17;AP;E0471947;SYSTEL BUSINESS EQUIPMENT;11.01.16;11/30/2016;PRINTING & REPRODUCTION;20.73;2016;SYSTEL BUSINESS EQUIPMENT
F000450;HON. VIRGINIA FOXX;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0476918;ACCURATE WORD LLC;12/21/2016;12/21/2016;PRINTING & REPRODUCTION;952.25;2016;ACCURATE WORD LLC
F000450;HON. VIRGINIA FOXX;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0477978;ACCURATE WORD LLC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;109.95;2016;ACCURATE WORD LLC
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0485483;GOLD COAST TECHNOLOGIES;12/20/2016;1/19/2017;PRINTING & REPRODUCTION;210.22;2017;GOLD COAST TECHNOLOGIES
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/21/2017;AP;E0488272;ACCURATE WORD LLC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/20/2017;AP;E0495712;GOLD COAST TECHNOLOGIES;1/20/2017;2/19/2017;PRINTING & REPRODUCTION;217.3;2017;GOLD COAST TECHNOLOGIES
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;01.10.17;01.10.17;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;01.11.17;01.11.17;PRINTING & REPRODUCTION;239.62;2017;PUBLIC PRINTER
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.08.17;AP;E0474964;ACCURATE WORD LLC;12/20/2016;12/20/2016;PRINTING & REPRODUCTION;49.95;2016;ACCURATE WORD LLC
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.08.17;AP;E0474967;ACCURATE WORD LLC;12/20/2016;12/20/2016;PRINTING & REPRODUCTION;249.75;2016;ACCURATE WORD LLC
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.08.17;AP;E0474968;ACCURATE WORD LLC;12/21/2016;12/21/2016;PRINTING & REPRODUCTION;149.85;2016;ACCURATE WORD LLC
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;E0476568;ACCURATE WORD LLC;12/23/2016;12/23/2016;PRINTING & REPRODUCTION;199.8;2016;ACCURATE WORD LLC
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;E0476576;GOLD COAST TECHNOLOGIES;11/20/2016;12/19/2016;PRINTING & REPRODUCTION;210.48;2016;GOLD COAST TECHNOLOGIES
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0485160;GOLDSTEIN FELICIA R;12.09.16;12.09.16;PRINTING & REPRODUCTION;27.83;2016;GOLDSTEIN FELICIA R
F000462;HON. LOIS FRANKEL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/17/2017;AP;E0495604;XEROX CORPORATION;9/21/2016;12/30/2016;PRINTING & REPRODUCTION;97.37;2016;XEROX CORPORATION
F000448;HON. TRENT FRANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/26/2017;AP;E0481596;ACCURATE WORD LLC;01.05.17;01.05.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
F000448;HON. TRENT FRANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/26/2017;AP;E0481597;ACCURATE WORD LLC;01.05.17;01.05.17;PRINTING & REPRODUCTION;74.95;2017;ACCURATE WORD LLC
F000448;HON. TRENT FRANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0498943;ACCURATE WORD LLC;03.10.17;03.10.17;PRINTING & REPRODUCTION;41.9;2017;ACCURATE WORD LLC
F000372;HON. RODNEY P. FRELINGHUYSEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0487149;ACCURATE WORD LLC;01.11.17;01.11.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
F000372;HON. RODNEY P. FRELINGHUYSEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.03.17;AP;E0473603;ACCURATE WORD LLC;12/23/2016;12/23/2016;PRINTING & REPRODUCTION;3211.51;2016;ACCURATE WORD LLC
F000372;HON. RODNEY P. FRELINGHUYSEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.04.17;AP;E0475133;ACCURATE WORD LLC;12/23/2016;12/23/2016;PRINTING & REPRODUCTION;459.5;2016;ACCURATE WORD LLC
F000372;HON. RODNEY P. FRELINGHUYSEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;630.2;2016;PUBLIC PRINTER
F000455;HON. MARCIA FUDGE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0480318;DAVID L ANDRUKITIS INC;01.03.17;01.03.17;PRINTING & REPRODUCTION;123;2017;DAVID L ANDRUKITIS INC
F000455;HON. MARCIA FUDGE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0480322;DAVID L ANDRUKITIS INC;01.06.17;01.06.17;PRINTING & REPRODUCTION;49.95;2017;DAVID L ANDRUKITIS INC
F000455;HON. MARCIA FUDGE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;E0484946;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;49.95;2017;ACCURATE WORD LLC
F000455;HON. MARCIA FUDGE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.05.17;AP;E0492496;ACCURATE WORD LLC;01.03.17;01.03.17;PRINTING & REPRODUCTION;123;2017;ACCURATE WORD LLC
F000455;HON. MARCIA FUDGE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.05.17;AP;E0492497;ACCURATE WORD LLC;01.06.17;01.06.17;PRINTING & REPRODUCTION;49.95;2017;ACCURATE WORD LLC
F000455;HON. MARCIA FUDGE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/28/2017;AP;E0497851;ACCURATE WORD LLC;03.03.17;03.03.17;PRINTING & REPRODUCTION;109.95;2017;ACCURATE WORD LLC
F000455;HON. MARCIA FUDGE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/22/2017;AP;E0489031;XEROX CORPORATION;9/30/2016;12/21/2016;PRINTING & REPRODUCTION;816.98;2016;XEROX CORPORATION
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0483456;DAVID L ANDRUKITIS INC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;237.5;2017;DAVID L ANDRUKITIS INC
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-ENVIRONMENT & ENERGY P;01.03.17;1/28/2017;PRINTING & REPRODUCTION;2195;2017;CITI PCARD-ENVIRONMENT & ENERGY P
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0500497;XEROX CORP.;02.10.17;2/21/2017;PRINTING & REPRODUCTION;19.63;2017;XEROX CORP.
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0483430;DAVID L ANDRUKITIS INC;10.11.16;10.11.16;PRINTING & REPRODUCTION;67;2016;DAVID L ANDRUKITIS INC
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0483450;XEROX CORPORATION;11/21/2016;12/30/2016;PRINTING & REPRODUCTION;94.49;2016;XEROX CORPORATION
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0483463;DAVID L ANDRUKITIS INC;10.10.16;10.10.16;PRINTING & REPRODUCTION;80;2016;DAVID L ANDRUKITIS INC
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.02.17;AP;E0483445;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;87.5;2016;DAVID L ANDRUKITIS INC
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/17/2017;AP;E0489199;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;313.5;2016;DAVID L ANDRUKITIS INC
G000571;HON. TULSI GABBARD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/27/2017;AP;E0499784;SERVICE PRINTERS HAWAII INC;12/28/2016;12/28/2016;PRINTING & REPRODUCTION;24061;2016;SERVICE PRINTERS HAWAII INC
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0483517;ACCURATE WORD LLC;1/18/2017;1/18/2017;PRINTING & REPRODUCTION;491.3;2017;ACCURATE WORD LLC
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/28/2017;AP;E0490498;ACCURATE WORD LLC;02.07.17;02.07.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0492094;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.04.17;AP;E0491256;DIRECT MAIL SYSTEMS;2/13/2017;2/13/2017;PRINTING & REPRODUCTION;1524.18;2017;DIRECT MAIL SYSTEMS
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0491284;POPE ENTERPRISES INC;02.10.17;02.10.17;PRINTING & REPRODUCTION;307.12;2017;POPE ENTERPRISES INC
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;E0494784;PRO LEGAL DISCOVERY;2/23/2017;2/23/2017;PRINTING & REPRODUCTION;1134;2017;PRO LEGAL DISCOVERY
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/22/2017;AP;E0496219;MCARDLE DAWN B;2/21/2017;2/21/2017;PRINTING & REPRODUCTION;30;2017;MCARDLE DAWN B
G000578;HON. MATT GAETZ;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0499705;ACCURATE WORD LLC;03.03.17;03.03.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
G000579;HON. MIKE GALLAGHER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902133;ACCURATE WORD LLC;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;706;2017;ACCURATE WORD LLC
G000574;HON. RUBEN GALLEGO;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;97.68;2017;PUBLIC PRINTER
G000574;HON. RUBEN GALLEGO;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0494095;ACCURATE WORD LLC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
G000574;HON. RUBEN GALLEGO;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;E0494096;ACCURATE WORD LLC;02.10.17;02.10.17;PRINTING & REPRODUCTION;239.85;2017;ACCURATE WORD LLC
